subject,predicate,object
kwg-ont:AirQualityObservation,sosa:hasSimpleResult,cdt:ucum
kwg-ont:TraumaCareLevel,kwg-ont:hasTraumaDescription,kwg-ont:TraumaDescription
kwg-ont:RoadSegment,geo:hasGeometry,geo:Geometry
kwg-ont:RoadSegment,geo:hasDefaultGeometry,geo:Geometry
kwg-ont:PublicHealthObservation,sosa:observedProperty,kwg-ont:PublicHealthObservableProperty
kwg-ont:FederalJudicalDistrict,kwg-ont:inCircuit,kwg-ont:RegionalCircuit
usgs:Feature,gnis:state,gnis:State
kwgr:publicHealthObservableProperty.diabetesAgeAdjusted20PlusPercent,rdfs:subClassOf,kwg-ont:PublicHealthObservableProperty
kwgr:publicHealthObservableProperty.obesityAgeAdjusted20PlusPercent,rdfs:subClassOf,kwg-ont:PublicHealthObservableProperty
kwgr:publicHealthObservableProperty.belowPovertyLevelPercent,rdfs:subClassOf,kwg-ont:PublicHealthObservableProperty
kwg-ont:FEMADisaster,kwg-ont:hasDeclaration,kwg-ont:Declaration
kwg-ont:Declaration,kwg-ont:hasDeclarationDate,time:TemporalEntity
kwg-ont:MTBSFireObservationCollection,sosa:hasMember,kwg-ont:MTBSFireObservation
kwg-ont:USCensusMSA,kwg-ont:hasTemporalScope,time:Instant
kwg-ont:FEMADisaster,rdfs:subClassOf,kwg-ont:Hazard
kwg-ont:Hazard,kwg-ont:spatialRelation,kwg-ont:AdministrativeRegion
kwg-ont:RoadSegment,rdfs:label,rdfs:literal
kwg-ont:RoadSegment,kwg-ont:hasRoadName,rdfs:literal
kwg-ont:RoadSegment,kwg-ont:hasRoadSign,rdfs:literal
kwg-ont:RoadSegment,kwg-ont:hasLength,rdfs:literal
kwg-ont:SoilMapUnitObservationCollection,kwg-ont:hasSoilMapUnitSymbol,rdfs:literal
kwg-ont:SoilMapUnitObservationCollection,kwg-ont:hasMapUnitAreaSymbol,rdfs:literal
kwg-ont:SoilMapUnitObservationCollection,kwg-ont:hasSoilMapUnitKey,rdfs:literal
kwg-ont:DroughtZone,rdfs:subClassOf,kwg-ont:Hazard
kwg-ont:Hospital,kwg-ont:noHospitalBeds,xsd:decimal
kwg-ont:S2Cell,rdfs:subClassOf,kwg-ont:Cell
kwg-ont:StormTrackletObservationCollection,sosa:hasFeatureOfInterest,kwg-ont:StormTracklet
usgs:Beach,rdfs:subClassOf,usgs:SurfaceWater
kwgr:yes,rdfs:subClassOf,kwg-ont:HelipadAvailability
kwgr:no,rdfs:subClassOf,kwg-ont:HelipadAvailability
kwg-ont:StormTrack,rdfs:subClassOf,geo:Feature
kwg-ont:SoilMapUnitObservation,sosa:hasSimpleResult,rdfs:literal
kwg-ont:Program,kwg-ont:hasProgramDesignatedDate,time:TemporalEntity
kwg-ont:AdministrativeRegion_4,kwg-ont:sfWithin,kwg-ont:AdministrativeRegion_3
geo:Feature,geo:hasGeometry,geo:Geometry
geo:Feature,geo:hasDefaultGeometry,geo:Geometry
kwg-ont:FederalJudicalDistrict,kwg-ont:hasJudgeInfo,kwg-ont:JudgeInfo
kwg-ont:NIFCIncidentComplexFire,rdfs:subClassOf,kwg-ont:ComplexFire
kwg-ont:Hospital,kwg-ont:hospitalType,kwg-ont:HospitalType
kwg-ont:ClimateDivisionPropertyObservationCollection,sosa:observedProperty,kwg-ont:ClimateObservableProperty
kwg-ont:ClimateDivisionPropertyObservationCollection,sosa:observedProperty,sosa:ObservableProperty
kwg-ont:ClimateDivisionObservationResult,sosa:observedProperty,kwg-ont:ClimateObservableProperty
kwg-ont:ClimateDivisionObservationResult,sosa:observedProperty,sosa:ObservableProperty
time:Instant,time:inXSDDateTimeStamp,xsd:dateTimeStamp
kwg-ont:DroughtZoneOverlapObservationCollection,sosa:hasMember,kwg-ont:DroughtZoneOverlapObservation
usgs:Sea,rdfs:subClassOf,usgs:Ocean
kwg-ont:AdministrativeRegion_1,rdfs:subClassOf,kwg-ont:AdministrativeRegion
kwg-ont:FireManagementDeclaration,rdfs:subClassOf,kwg-ont:Declaration
kwg-ont:MajorDisasterDeclaration,rdfs:subClassOf,kwg-ont:Declaration
kwg-ont:EmergencyDeclaration,rdfs:subClassOf,kwg-ont:Declaration
usgs:BuiltUpArea,rdfs:subClassOf,geo:SpatialObject
kwg-ont:StormTracklet,kwg-ont:hasTemporalScope,time:Instant
kwg-ont:ClimateDivisionPropertyObservationCollection,sosa:hasMember,kwg-ont:ClimateObservation
kwg-ont:StormTrackObservationCollection,sosa:phenomenonTime,time:Interval
usgs:Feature,gnis:county,gnis:County
kwg-ont:NIFCFireObservation,sosa:hasFeatureOfInterest,kwg-ont:NIFCFire
kwg-ont:MTBSFire,rdfs:subClassOf,sosa:FeatureOfInterest
kwg-ont:S2Cell,rdfs:subClassOf,sosa:FeatureOfInterest
kwg-ont:AdministrativeRegion,rdfs:subClassOf,kwg-ont:Region
kwg-ont:PublicHealthObservationCollection,sosa:resultTime,xsd:dateTime
kwg-ont:NIFCFire,geo:hasGeometry,geo:Geometry
kwg-ont:NIFCFire,geo:hasDefaultGeometry,geo:Geometry
kwg-ont:RoadSegment,rdfs:subClassOf,geo:Feature
kwg-ont:NOAAWildfire,rdfs:subClassOf,kwg-ont:NOAAHazardEvent
kwg-ont:SmokePlumeObservation,sosa:observedProperty,kwg-ont:SmokePlumeObservableProperty
kwg-ont:SmokePlumeObservation,sosa:observedProperty,sosa:ObservableProperty
usgs:Reserve,rdfs:subClassOf,usgs:Division
usgs:Census,rdfs:subClassOf,usgs:Division
usgs:Locale,rdfs:subClassOf,usgs:Division
